x           y
0.000000    2.000000
0.010000    0.990000
0.020000    0.980149
0.030000    0.970397
0.040000    0.960741
0.050000    0.951182
0.060000    0.941717
0.070000    0.932347
0.080000    0.923070
0.090000    0.913885
0.100000    0.904792
0.110000    0.895789
0.120000    0.886876
0.130000    0.878051
0.140000    0.869314
0.150000    0.860665
0.160000    0.852101
0.170000    0.843622
0.180000    0.835228
0.190000    0.826918
0.200000    0.818690
0.210000    0.810543
0.220000    0.802478
0.230000    0.794494
0.240000    0.786588
0.250000    0.778762
0.260000    0.771013
0.270000    0.763341
0.280000    0.755746
0.290000    0.748226
0.300000    0.740781
0.310000    0.733410
0.320000    0.726112
0.330000    0.718888
0.340000    0.711734
0.350000    0.704653
0.360000    0.697641
0.370000    0.690700
0.380000    0.683827
0.390000    0.677023
0.400000    0.670286
0.410000    0.663617
0.420000    0.657014
0.430000    0.650476
0.440000    0.644004
0.450000    0.637596
0.460000    0.631252
0.470000    0.624971
0.480000    0.618752
0.490000    0.612596
0.500000    0.606500
0.510000    0.600465
0.520000    0.594491
0.530000    0.588575
0.540000    0.582719
0.550000    0.576921
0.560000    0.571180
0.570000    0.565497
0.580000    0.559870
0.590000    0.554299
0.600000    0.548784
0.610000    0.543324
0.620000    0.537917
0.630000    0.532565
0.640000    0.527266
0.650000    0.522019
0.660000    0.516825
0.670000    0.511683
0.680000    0.506591
0.690000    0.501551
0.700000    0.496560
0.710000    0.491619
0.720000    0.486728
0.730000    0.481885
0.740000    0.477090
0.750000    0.472343
0.760000    0.467643
0.770000    0.462990
0.780000    0.458383
0.790000    0.453822
0.800000    0.449306
0.810000    0.444836
0.820000    0.440409
0.830000    0.436027
0.840000    0.431689
0.850000    0.427393
0.860000    0.423141
0.870000    0.418930
0.880000    0.414762
0.890000    0.410635
0.900000    0.406549
0.910000    0.402504
0.920000    0.398499
0.930000    0.394534
0.940000    0.390608
0.950000    0.386722
0.960000    0.382874
0.970000    0.379064
0.980000    0.375292
0.990000    0.371558
1.000000    0.367861
